Order_ID,Fecha,Categoria,Producto,Codigo_Producto,Canal,Region,Precio_Unitario,Costo_Unitario,Descuento,Cantidad,Ventas,Cliente_ID
ORD-41186,2023-06-22,Muebles,Archivador Metálico,PROD-810,Tienda Física,Centro,$125.93,287.87,0.05,5,629.64,CLI-9217
ORD-87032,29/11/2023,Tecnología,Monitor LG,PROD-812,Tienda Física,Sur,78.58,271.75,0.2,5,392.92,CLI-2308
ORD-44311,2022-11-10,Muebles,Silla Ergonómica,PROD-956,Distribuidor,Oeste,60.41,248.03,,5,302.06,CLI-3580
ORD-15526,21/02/2023,Tecnología,Teclado Mecánico,PROD-513,Distribuidor,Norte,$119.82,262.28,0.2,3,359.46,CLI-4570
ORD-61931,2022-04-14,Tecnología,Laptop Dell,PROD-970,Tienda Física,Este,373.24,837.17,0.15,2,746.47,CLI-9353
ORD-87725,2022-01-05,Muebles,Mesa Reuniones,PROD-858,Mayorista,Este,71.46,204.52,0.05,5,357.3,
ORD-74309,08-30-2023,Muebles,Silla Ergonómica,PROD-783,Mayorista,Este,330.54,584.34,,2,661.08,CLI-1199
ORD-34440,2024-11-24,Oficina,Calculadora,PROD-962,Distribuidor,Norte,15.63,33.6,,5,78.15,CLI-7790
ORD-63437,2023-04-10,Muebles,Escritorio Ejecutivo,PROD-348,Mayorista,Oeste,$121.40,285.15,0.05,4,485.59,CLI-5174
ORD-93045,2022-08-10,Tecnología,Laptop Dell,PROD-718,Online,Oeste,422.81,931.41,0.05,5,2114.05,
ORD-93549,19/03/2023,Tecnología,Laptop Dell,PROD-220,Distribuidor,Oeste,"$1,313.56",799.04,0.2,5,6567.79,CLI-1133
ORD-45794,2024-07-09,Oficina,Calculadora,PROD-308,Online,Centro,8.09,15.19,,3,24.26,CLI-4570
ORD-56506,12-16-2024,Oficina,Calculadora,PROD-592,Mayorista,Oeste,55.08,54.41,0.2,5,275.39,CLI-3831
ORD-78905,2022-11-24,Tecnología,Teclado Mecánico,PROD-525,Tienda Física,Sur,341.95,1078.46,0.0,3,1025.84,CLI-9606
ORD-89944,14/09/2024,Oficina,Carpetas,PROD-229,Distribuidor,Sur,26.22,55.58,0.1,4,104.88,CLI-8989
ORD-18893,2022-10-14,Tecnología,Mouse Logitech,PROD-266,Online,Centro,274.09,967.88,0.05,4,1096.36,CLI-8639
ORD-15259,2023-06-28,Tecnología,Teclado Mecánico,PROD-464,Distribuidor,Este,119.67,385.33,0.05,3,359.01,CLI-6365
ORD-76433,05/08/2023,Muebles,Escritorio Ejecutivo,PROD-132,Online,Oeste,$134.94,253.32,0.15,4,539.74,CLI-7697
ORD-79235,2022-12-01,Tecnología,Monitor LG,PROD-528,Tienda Física,Sur,$267.06,662.47,0.05,3,801.19,CLI-7840
ORD-30330,2024-04-10,Muebles,Escritorio Ejecutivo,PROD-496,Online,Este,618.89,717.23,0.0,1,618.89,CLI-3927
ORD-92560,2024-01-13,Oficina,Grapadora,PROD-880,Online,Sur,109.85,74.78,,2,219.7,CLI-8078
ORD-51914,2023-07-22,Oficina,Carpetas,PROD-748,Tienda Física,Centro,12.94,19.03,0.0,2,25.89,CLI-9502
ORD-10234,01/01/2022,Oficina,Grapadora,PROD-124,Mayorista,Norte,55.7,78.01,0.2,1,55.7,CLI-5904
ORD-27358,16/01/2022,Muebles,Escritorio Ejecutivo,PROD-762,Tienda Física,Sur,222.59,465.22,0.05,2,445.18,CLI-4585
ORD-81785,2024-12-05,Muebles,Silla Ergonómica,PROD-552,Distribuidor,Centro,300.71,736.32,0.15,3,902.14,CLI-2228
ORD-97451,02/02/2024,Tecnología,Teclado Mecánico,PROD-916,Mayorista,Sur,452.72,832.66,0.2,4,1810.9,CLI-1534
ORD-88338,2023-01-24,Tecnología,Teclado Mecánico,PROD-209,Tienda Física,Este,145.32,351.07,0.0,3,435.95,CLI-4617
ORD-71857,2022-02-12,Muebles,Escritorio Ejecutivo,PROD-474,Mayorista,Sur,637.84,573.89,0.2,2,1275.68,CLI-4994
ORD-53669,2023-05-16,Tecnología,Laptop Dell,PROD-249,Distribuidor,Este,331.19,439.64,0.1,1,331.19,CLI-1664
